"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Nights by Foreign Visitors","2023 February","Guest house/bed & breakfast","Thousand","45.3"
"Number of Nights by Foreign Visitors","2023 February","Friends/relatives/own property","Thousand","1249"
"Number of Nights by Foreign Visitors","2023 February","Self catering/rented house","Thousand","355.9"
"Number of Nights by Foreign Visitors","2023 February","Other private tourism accommodation n.e.c.","Thousand","290"
"Number of Nights by Foreign Visitors","2023 February","All types of accommodation","Thousand","2443.3"
"Number of Nights by Foreign Visitors","2023 March","Hotel/conference centre","Thousand","755.9"
"Number of Nights by Foreign Visitors","2023 March","Guest house/bed & breakfast","Thousand","108.5"
"Number of Nights by Foreign Visitors","2023 March","Friends/relatives/own property","Thousand","1272.2"
"Number of Nights by Foreign Visitors","2023 March","Self catering/rented house","Thousand","186.1"
"Number of Nights by Foreign Visitors","2023 March","Other private tourism accommodation n.e.c.","Thousand","821.3"
"Number of Nights by Foreign Visitors","2023 March","All types of accommodation","Thousand","3144.1"
"Number of Nights by Foreign Visitors","2023 April","Hotel/conference centre","Thousand","803.4"
"Number of Nights by Foreign Visitors","2023 April","Guest house/bed & breakfast","Thousand","88.5"
"Number of Nights by Foreign Visitors","2023 April","Friends/relatives/own property","Thousand","1904.8"
"Number of Nights by Foreign Visitors","2023 April","Self catering/rented house","Thousand","387"
"Number of Nights by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","Thousand","483.8"
"Number of Nights by Foreign Visitors","2023 April","All types of accommodation","Thousand","3667.5"
"Number of Nights by Foreign Visitors","2023 May","Hotel/conference centre","Thousand","1148"
"Number of Nights by Foreign Visitors","2023 May","Guest house/bed & breakfast","Thousand","171"
"Number of Nights by Foreign Visitors","2023 May","Friends/relatives/own property","Thousand","1703.4"
"Number of Nights by Foreign Visitors","2023 May","Self catering/rented house","Thousand","363.2"
"Number of Nights by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","Thousand","1090.4"
"Number of Nights by Foreign Visitors","2023 May","All types of accommodation","Thousand","4476.1"
"Number of Nights by Foreign Visitors","2023 June","Hotel/conference centre","Thousand","1497.1"
"Number of Nights by Foreign Visitors","2023 June","Guest house/bed & breakfast","Thousand","235.7"
"Number of Nights by Foreign Visitors","2023 June","Friends/relatives/own property","Thousand","1938.6"
"Number of Nights by Foreign Visitors","2023 June","Self catering/rented house","Thousand","328.7"
"Number of Nights by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","Thousand","518.2"
"Number of Nights by Foreign Visitors","2023 June","All types of accommodation","Thousand","4518.2"
"Number of Nights by Foreign Visitors","2023 July","Hotel/conference centre","Thousand","1455.3"
"Number of Nights by Foreign Visitors","2023 July","Guest house/bed & breakfast","Thousand","220.5"
"Number of Nights by Foreign Visitors","2023 July","Friends/relatives/own property","Thousand","2661.7"
"Number of Nights by Foreign Visitors","2023 July","Self catering/rented house","Thousand","475.7"
"Number of Nights by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","Thousand","830.7"
"Number of Nights by Foreign Visitors","2023 July","All types of accommodation","Thousand","5643.8"
"Number of Nights by Foreign Visitors","2023 August","Hotel/conference centre","Thousand","1691"
"Number of Nights by Foreign Visitors","2023 August","Guest house/bed & breakfast","Thousand","471.1"
"Number of Nights by Foreign Visitors","2023 August","Friends/relatives/own property","Thousand","3767.2"
"Number of Nights by Foreign Visitors","2023 August","Self catering/rented house","Thousand","437.5"
"Number of Nights by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","Thousand","970.8"
"Number of Nights by Foreign Visitors","2023 August","All types of accommodation","Thousand","7337.7"
"Number of Nights by Foreign Visitors","2023 September","Hotel/conference centre","Thousand","1474.7"
"Number of Nights by Foreign Visitors","2023 September","Guest house/bed & breakfast","Thousand","377.7"
"Number of Nights by Foreign Visitors","2023 September","Friends/relatives/own property","Thousand","2103.7"
"Number of Nights by Foreign Visitors","2023 September","Self catering/rented house","Thousand","334.6"
"Number of Nights by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","Thousand","359.1"
"Number of Nights by Foreign Visitors","2023 September","All types of accommodation","Thousand","4649.8"
"Number of Nights by Foreign Visitors","2023 October","Hotel/conference centre","Thousand","1299.5"
"Number of Nights by Foreign Visitors","2023 October","Guest house/bed & breakfast","Thousand","200.1"
"Number of Nights by Foreign Visitors","2023 October","Friends/relatives/own property","Thousand","1755.4"
"Number of Nights by Foreign Visitors","2023 October","Self catering/rented house","Thousand","311"
"Number of Nights by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","Thousand","392.2"
"Number of Nights by Foreign Visitors","2023 October","All types of accommodation","Thousand","3958.2"
"Number of Nights by Foreign Visitors","2023 November","Hotel/conference centre","Thousand","819"
