"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2024 June","Friends/relatives/own property","Thousand","227.1"
"Number of Overnight Trips by Foreign Visitors","2024 June","Self catering/rented house","Thousand","36.3"
"Number of Overnight Trips by Foreign Visitors","2024 June","Other private tourism accommodation n.e.c.","Thousand","57.7"
"Number of Overnight Trips by Foreign Visitors","2024 June","All types of accommodation","Thousand","669.5"
"Number of Overnight Trips by Foreign Visitors","2024 July","Hotel/conference centre","Thousand","268.8"
"Number of Overnight Trips by Foreign Visitors","2024 July","Guest house/bed & breakfast","Thousand","40.9"
"Number of Overnight Trips by Foreign Visitors","2024 July","Friends/relatives/own property","Thousand","237.6"
"Number of Overnight Trips by Foreign Visitors","2024 July","Self catering/rented house","Thousand","37.3"
"Number of Overnight Trips by Foreign Visitors","2024 July","Other private tourism accommodation n.e.c.","Thousand","70.8"
"Number of Overnight Trips by Foreign Visitors","2024 July","All types of accommodation","Thousand","655.4"
"Number of Overnight Trips by Foreign Visitors","2024 August","Hotel/conference centre","Thousand","298.6"
"Number of Overnight Trips by Foreign Visitors","2024 August","Guest house/bed & breakfast","Thousand","62.9"
"Number of Overnight Trips by Foreign Visitors","2024 August","Friends/relatives/own property","Thousand","290.9"
"Number of Overnight Trips by Foreign Visitors","2024 August","Self catering/rented house","Thousand","43.3"
"Number of Overnight Trips by Foreign Visitors","2024 August","Other private tourism accommodation n.e.c.","Thousand","68"
"Number of Overnight Trips by Foreign Visitors","2024 August","All types of accommodation","Thousand","763.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 January","Hotel/conference centre","%","30.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 January","Guest house/bed & breakfast","%","2.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 January","Friends/relatives/own property","%","60.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 January","Self catering/rented house","%","3.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 January","Other private tourism accommodation n.e.c.","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 January","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 February","Hotel/conference centre","%","42.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 February","Guest house/bed & breakfast","%","2.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 February","Friends/relatives/own property","%","46.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 February","Self catering/rented house","%","4.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 February","Other private tourism accommodation n.e.c.","%","4.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 February","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 March","Hotel/conference centre","%","45"
"Percentage of Overnight Trips by Foreign Visitors","2023 March","Guest house/bed & breakfast","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 March","Friends/relatives/own property","%","40.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 March","Self catering/rented house","%","4.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 March","Other private tourism accommodation n.e.c.","%","6.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 March","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Hotel/conference centre","%","39.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Guest house/bed & breakfast","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Friends/relatives/own property","%","47.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Self catering/rented house","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Hotel/conference centre","%","40.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Guest house/bed & breakfast","%","4.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Friends/relatives/own property","%","42.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Self catering/rented house","%","5.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","%","7.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Hotel/conference centre","%","46.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Guest house/bed & breakfast","%","4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Friends/relatives/own property","%","37.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Self catering/rented house","%","5.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","%","6.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Hotel/conference centre","%","42.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Guest house/bed & breakfast","%","4.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Friends/relatives/own property","%","40.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Self catering/rented house","%","6.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","%","7"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Hotel/conference centre","%","40.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Guest house/bed & breakfast","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Friends/relatives/own property","%","40.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Self catering/rented house","%","5"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","%","8.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Hotel/conference centre","%","46.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Guest house/bed & breakfast","%","8.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Friends/relatives/own property","%","36.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Self catering/rented house","%","4.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","%","4.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Hotel/conference centre","%","46.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Guest house/bed & breakfast","%","5.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Friends/relatives/own property","%","37.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Self catering/rented house","%","5.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Hotel/conference centre","%","46.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Guest house/bed & breakfast","%","3.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Friends/relatives/own property","%","40.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Self catering/rented house","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","%","5.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Hotel/conference centre","%","40.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Guest house/bed & breakfast","%","2.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Friends/relatives/own property","%","45.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Self catering/rented house","%","3.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","%","7.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Hotel/conference centre","%","36"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Guest house/bed & breakfast","%","2.5"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Friends/relatives/own property","%","54.5"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Self catering/rented house","%","3.2"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","%","3.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 February","Hotel/conference centre","%","47.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 February","Guest house/bed & breakfast","%","4"
"Percentage of Overnight Trips by Foreign Visitors","2024 February","Friends/relatives/own property","%","39.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 February","Self catering/rented house","%","3.6"
"Percentage of Overnight Trips by Foreign Visitors","2024 February","Other private tourism accommodation n.e.c.","%","5.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 February","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 March","Hotel/conference centre","%","49.4"
"Percentage of Overnight Trips by Foreign Visitors","2024 March","Guest house/bed & breakfast","%","4.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 March","Friends/relatives/own property","%","35.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 March","Self catering/rented house","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 March","Other private tourism accommodation n.e.c.","%","6.5"
"Percentage of Overnight Trips by Foreign Visitors","2024 March","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 April","Hotel/conference centre","%","45.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 April","Guest house/bed & breakfast","%","4.4"
"Percentage of Overnight Trips by Foreign Visitors","2024 April","Friends/relatives/own property","%","39.2"
"Percentage of Overnight Trips by Foreign Visitors","2024 April","Self catering/rented house","%","4.7"
"Percentage of Overnight Trips by Foreign Visitors","2024 April","Other private tourism accommodation n.e.c.","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2024 April","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 May","Hotel/conference centre","%","50.1"
"Percentage of Overnight Trips by Foreign Visitors","2024 May","Guest house/bed & breakfast","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2024 May","Friends/relatives/own property","%","32.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 May","Self catering/rented house","%","4.6"
"Percentage of Overnight Trips by Foreign Visitors","2024 May","Other private tourism accommodation n.e.c.","%","6.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 May","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 June","Hotel/conference centre","%","46.1"
"Percentage of Overnight Trips by Foreign Visitors","2024 June","Guest house/bed & breakfast","%","5.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 June","Friends/relatives/own property","%","33.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 June","Self catering/rented house","%","5.4"
"Percentage of Overnight Trips by Foreign Visitors","2024 June","Other private tourism accommodation n.e.c.","%","8.6"
"Percentage of Overnight Trips by Foreign Visitors","2024 June","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 July","Hotel/conference centre","%","41"
"Percentage of Overnight Trips by Foreign Visitors","2024 July","Guest house/bed & breakfast","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2024 July","Friends/relatives/own property","%","36.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 July","Self catering/rented house","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2024 July","Other private tourism accommodation n.e.c.","%","10.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 July","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 August","Hotel/conference centre","%","39.1"
"Percentage of Overnight Trips by Foreign Visitors","2024 August","Guest house/bed & breakfast","%","8.2"
"Percentage of Overnight Trips by Foreign Visitors","2024 August","Friends/relatives/own property","%","38.1"
"Percentage of Overnight Trips by Foreign Visitors","2024 August","Self catering/rented house","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2024 August","Other private tourism accommodation n.e.c.","%","8.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 August","All types of accommodation","%","100"
"Number of Nights by Foreign Visitors","2023 January","Hotel/conference centre","Thousand","441.9"
"Number of Nights by Foreign Visitors","2023 January","Guest house/bed & breakfast","Thousand","55.9"
"Number of Nights by Foreign Visitors","2023 January","Friends/relatives/own property","Thousand","2701.9"
"Number of Nights by Foreign Visitors","2023 January","Self catering/rented house","Thousand","154.8"
"Number of Nights by Foreign Visitors","2023 January","Other private tourism accommodation n.e.c.","Thousand","341.6"
"Number of Nights by Foreign Visitors","2023 January","All types of accommodation","Thousand","3696.2"
"Number of Nights by Foreign Visitors","2023 February","Hotel/conference centre","Thousand","503.1"
